Date,Strain,UV_dose,Survival,Revertant
220722,KNT-Op47-01,0,788,0
220722,KNT-Op47-01,0,836,0
220722,KNT-Op47-01,0,646,0
220722,KNT-Op47-01,60,597,0
220722,KNT-Op47-01,60,782,1
220722,KNT-Op47-01,60,610,0
220722,KNT-Op47-01,90,750,0
220722,KNT-Op47-01,90,858,2
220722,KNT-Op47-01,90,795,0
220722,KNT-Op47-01,120,706,1
220722,KNT-Op47-01,120,810,4
220722,KNT-Op47-01,120,747,1
220722,KNT-Op47-23,0,749,0
220722,KNT-Op47-23,0,727,1
220722,KNT-Op47-23,0,720,1
220722,KNT-Op47-23,60,600,1
220722,KNT-Op47-23,60,689,2
220722,KNT-Op47-23,60,590,1
220722,KNT-Op47-23,90,758,9
220722,KNT-Op47-23,90,780,12
220722,KNT-Op47-23,90,672,18
220722,KNT-Op47-23,120,593,22
220722,KNT-Op47-23,120,601,20
220722,KNT-Op47-23,120,591,26
220722,KNT-Op51-17,0,938,1
220722,KNT-Op51-17,0,901,0
220722,KNT-Op51-17,0,899,0
220722,KNT-Op51-17,60,859,2
220722,KNT-Op51-17,60,946,1
220722,KNT-Op51-17,60,830,0
220722,KNT-Op51-17,90,767,2
220722,KNT-Op51-17,90,873,0
220722,KNT-Op51-17,90,814,0
220722,KNT-Op51-17,120,773,4
220722,KNT-Op51-17,120,788,2
220722,KNT-Op51-17,120,743,2
220722,KNT-Op51-32,0,481,0
220722,KNT-Op51-32,0,501,0
220722,KNT-Op51-32,0,490,0
220722,KNT-Op51-32,60,439,2
220722,KNT-Op51-32,60,505,2
220722,KNT-Op51-32,60,432,4
220722,KNT-Op51-32,90,449,8
220722,KNT-Op51-32,90,480,2
220722,KNT-Op51-32,90,479,4
220722,KNT-Op51-32,120,451,7
220722,KNT-Op51-32,120,427,11
220722,KNT-Op51-32,120,183,17
220729,KNT-Op46-04,0,723,1
220729,KNT-Op46-04,0,793,1
220729,KNT-Op46-04,0,721,0
220729,KNT-Op46-04,60,773,3
220729,KNT-Op46-04,60,762,0
220729,KNT-Op46-04,60,697,6
220729,KNT-Op46-04,90,689,10
220729,KNT-Op46-04,90,796,8
220729,KNT-Op46-04,90,647,7
220729,KNT-Op46-04,120,636,9
220729,KNT-Op46-04,120,699,10
220729,KNT-Op46-04,120,660,13
220729,KNT-Op46-13,0,779,2
220729,KNT-Op46-13,0,767,0
220729,KNT-Op46-13,0,727,2
220729,KNT-Op46-13,60,652,33
220729,KNT-Op46-13,60,743,25
220729,KNT-Op46-13,60,656,30
220729,KNT-Op46-13,90,697,46
220729,KNT-Op46-13,90,671,29
220729,KNT-Op46-13,90,664,34
220729,KNT-Op46-13,120,570,50
220729,KNT-Op46-13,120,640,52
220729,KNT-Op46-13,120,513,44
220729,KNT-Op55-01,0,845,0
220729,KNT-Op55-01,0,885,0
220729,KNT-Op55-01,0,789,1
220729,KNT-Op55-01,60,725,4
220729,KNT-Op55-01,60,839,2
220729,KNT-Op55-01,60,780,18
220729,KNT-Op55-01,90,803,7
220729,KNT-Op55-01,90,880,6
220729,KNT-Op55-01,90,844,6
220729,KNT-Op55-01,120,689,43
220729,KNT-Op55-01,120,862,45
220729,KNT-Op55-01,120,715,28
220729,KNT-Op55-25,0,NA,NA
220729,KNT-Op55-25,0,NA,NA
220729,KNT-Op55-25,0,NA,NA
220729,KNT-Op55-25,60,NA,NA
220729,KNT-Op55-25,60,NA,NA
220729,KNT-Op55-25,60,NA,NA
220729,KNT-Op55-25,90,NA,NA
220729,KNT-Op55-25,90,NA,NA
220729,KNT-Op55-25,90,NA,NA
220729,KNT-Op55-25,120,NA,NA
220729,KNT-Op55-25,120,NA,NA
220729,KNT-Op55-25,120,NA,NA
220805,KNT-Op47-01,0,931,1
220805,KNT-Op47-01,0,991,1
220805,KNT-Op47-01,0,946,1
220805,KNT-Op47-01,60,903,1
220805,KNT-Op47-01,60,999,1
220805,KNT-Op47-01,60,826,0
220805,KNT-Op47-01,90,627,2
220805,KNT-Op47-01,90,879,2
220805,KNT-Op47-01,90,703,0
220805,KNT-Op47-01,120,668,4
220805,KNT-Op47-01,120,860,0
220805,KNT-Op47-01,120,704,0
220805,KNT-Op47-23,0,855,1
220805,KNT-Op47-23,0,957,0
220805,KNT-Op47-23,0,778,0
220805,KNT-Op47-23,60,921,10
220805,KNT-Op47-23,60,986,6
220805,KNT-Op47-23,60,919,4
220805,KNT-Op47-23,90,715,8
220805,KNT-Op47-23,90,757,11
220805,KNT-Op47-23,90,721,12
220805,KNT-Op47-23,120,813,43
220805,KNT-Op47-23,120,822,15
220805,KNT-Op47-23,120,765,16
220805,KNT-Op51-17,0,831,0
220805,KNT-Op51-17,0,895,0
220805,KNT-Op51-17,0,828,0
220805,KNT-Op51-17,60,618,1
220805,KNT-Op51-17,60,799,0
220805,KNT-Op51-17,60,683,2
220805,KNT-Op51-17,90,791,1
220805,KNT-Op51-17,90,864,2
220805,KNT-Op51-17,90,751,2
220805,KNT-Op51-17,120,243,1
220805,KNT-Op51-17,120,869,1
220805,KNT-Op51-17,120,679,1
220805,KNT-Op51-32,0,631,2
220805,KNT-Op51-32,0,690,0
220805,KNT-Op51-32,0,624,0
220805,KNT-Op51-32,60,655,15
220805,KNT-Op51-32,60,673,9
220805,KNT-Op51-32,60,628,11
220805,KNT-Op51-32,90,550,14
220805,KNT-Op51-32,90,636,13
220805,KNT-Op51-32,90,567,9
220805,KNT-Op51-32,120,498,20
220805,KNT-Op51-32,120,550,20
220805,KNT-Op51-32,120,519,17
220812,KNT-Op46-04,0,795,0
220812,KNT-Op46-04,0,897,1
220812,KNT-Op46-04,0,839,0
220812,KNT-Op46-04,60,922,0
220812,KNT-Op46-04,60,887,1
220812,KNT-Op46-04,60,907,5
220812,KNT-Op46-04,90,857,7
220812,KNT-Op46-04,90,766,10
220812,KNT-Op46-04,90,848,4
220812,KNT-Op46-04,120,779,3
220812,KNT-Op46-04,120,791,9
220812,KNT-Op46-04,120,782,7
220812,KNT-Op55-01,0,801,2
220812,KNT-Op55-01,0,894,3
220812,KNT-Op55-01,0,916,0
220812,KNT-Op55-01,60,916,3
220812,KNT-Op55-01,60,786,8
220812,KNT-Op55-01,60,854,5
220812,KNT-Op55-01,90,912,7
220812,KNT-Op55-01,90,846,6
220812,KNT-Op55-01,90,748,10
220812,KNT-Op55-01,120,763,12
220812,KNT-Op55-01,120,809,7
220812,KNT-Op55-01,120,900,16
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,0,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,60,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,90,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op46-13,120,NA,NA
220812,KNT-Op55-25,0,NA,NA
220812,KNT-Op55-25,0,NA,NA
220812,KNT-Op55-25,0,NA,NA
220812,KNT-Op55-25,60,NA,NA
