"sibling","allele","genotype","UV_dose","Reversion_frequency","Reversion_frequency_se","seMax","seMin"
"Op46","OGW1","wild-type",0,0.429718429339401,0.258671069561892,0.688389498901294,0.171047359777509
"Op46","OGW1","wild-type",60,5.14684111292026,2.09338302334664,7.24022413626691,3.05345808957362
"Op46","OGW1","wild-type",90,10.110258855915,0.931699924564823,11.0419587804799,9.1785589313502
"Op46","OGW1","wild-type",120,13.929375745377,2.96315683941345,16.8925325847904,10.9662189059635
"Op46","OGW1","hH3-K4R",0,1.6050222091841,0.39533316542608,2.00035537461018,1.20968904375802
"Op46","OGW1","hH3-K4R",60,33.9411654003518,3.18544783824254,37.1266132385944,30.7557175621093
"Op46","OGW1","hH3-K4R",90,45.8855066476606,2.58819979856349,48.4737064462241,43.2973068490971
"Op46","OGW1","hH3-K4R",120,60.042938517166,8.50243720781312,68.5453757249792,51.5405013093529
"Op47","B36","wild-type",0,0.348675034867504,0.348675034867504,0.697350069735007,0
"Op47","B36","wild-type",60,1.22266893610681,0.608363199851012,1.83103213595782,0.614305736255798
"Op47","B36","wild-type",90,1.01148550184668,0.419422494301293,1.43090799614797,0.592063007545386
"Op47","B36","wild-type",120,1.48115415459649,0.781010796071279,2.26216495066777,0.700143358525209
"Op47","B36","hH3-K4R",0,0.324211799621636,0.215654063328829,0.539865862950464,0.108557736292807
"Op47","B36","hH3-K4R",60,3.55910193667441,1.23487068545372,4.79397262212813,2.32423125122068
"Op47","B36","hH3-K4R",90,9.98084376267315,3.50212821487955,13.4829719775527,6.4787155477936
"Op47","B36","hH3-K4R",120,19.1867609785525,8.95054088145552,28.137301860008,10.236220097097
"Op51","B36","wild-type",0,0.121743364986608,0.121743364986608,0.243486729973216,0
"Op51","B36","wild-type",60,1.37289391093658,0.122449703812025,1.49534361474861,1.25044420712456
"Op51","B36","wild-type",90,1.80224977674134,0.50938288594535,2.31163266268669,1.29286689079599
"Op51","B36","wild-type",120,3.70835361772649,1.24769700032404,4.95605061805053,2.46065661740244
"Op51","B36","set-1 KO",0,0.25706940874036,0.25706940874036,0.51413881748072,5.55111512312578e-17
"Op51","B36","set-1 KO",60,8.72881817093956,3.5539088569769,12.2827270279165,5.17490931396266
"Op51","B36","set-1 KO",90,11.4287709507958,3.44647885622146,14.8752498070173,7.98229209457437
"Op51","B36","set-1 KO",120,21.9152863062695,7.4385128676674,29.3537991739368,14.476773438602
"Op55","OGW1","wild-type",0,1.12301349582965,0.439444815705194,1.56245831153484,0.683568680124453
"Op55","OGW1","wild-type",60,7.36280122734548,1.45100414464817,8.81380537199364,5.91179708269731
"Op55","OGW1","wild-type",90,9.23666190554525,1.00917856139267,10.2458404669379,8.22748334415258
"Op55","OGW1","wild-type",120,28.7320698848262,11.394460265283,40.1265301501092,17.3376096195433
"Op55","OGW1","set-1 KO",0,2.51890007127366,0.858295722581168,3.37719579385483,1.6606043486925
"Op55","OGW1","set-1 KO",60,31.3555957541169,4.16994389340879,35.5255396475256,27.1856518607081
"Op55","OGW1","set-1 KO",90,41.5787963297483,5.16152978258964,46.7403261123379,36.4172665471587
"Op55","OGW1","set-1 KO",120,46.7228550521966,7.27842485740437,54.001279909601,39.4444301947922
