"Date","Strain","UV_dose","Survival","Revertant","sibling","allele","genotype"
"220722","KNT-Op47-01",0,788,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",0,836,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",0,646,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",60,597,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",60,782,1,"Op47","B36","wild-type"
"220722","KNT-Op47-01",60,610,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",90,750,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",90,858,2,"Op47","B36","wild-type"
"220722","KNT-Op47-01",90,795,0,"Op47","B36","wild-type"
"220722","KNT-Op47-01",120,706,1,"Op47","B36","wild-type"
"220722","KNT-Op47-01",120,810,4,"Op47","B36","wild-type"
"220722","KNT-Op47-01",120,747,1,"Op47","B36","wild-type"
"220722","KNT-Op47-23",0,749,0,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",0,727,1,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",0,720,1,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",60,600,1,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",60,689,2,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",60,590,1,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",90,758,9,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",90,780,12,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",90,672,18,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",120,593,22,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",120,601,20,"Op47","B36","hH3-K4R"
"220722","KNT-Op47-23",120,591,26,"Op47","B36","hH3-K4R"
"220722","KNT-Op51-17",0,938,1,"Op51","B36","wild-type"
"220722","KNT-Op51-17",0,901,0,"Op51","B36","wild-type"
"220722","KNT-Op51-17",0,899,0,"Op51","B36","wild-type"
"220722","KNT-Op51-17",60,859,2,"Op51","B36","wild-type"
"220722","KNT-Op51-17",60,946,1,"Op51","B36","wild-type"
"220722","KNT-Op51-17",60,830,0,"Op51","B36","wild-type"
"220722","KNT-Op51-17",90,767,2,"Op51","B36","wild-type"
"220722","KNT-Op51-17",90,873,0,"Op51","B36","wild-type"
"220722","KNT-Op51-17",90,814,0,"Op51","B36","wild-type"
"220722","KNT-Op51-17",120,773,4,"Op51","B36","wild-type"
"220722","KNT-Op51-17",120,788,2,"Op51","B36","wild-type"
"220722","KNT-Op51-17",120,743,2,"Op51","B36","wild-type"
"220722","KNT-Op51-32",0,481,0,"Op51","B36","set-1 KO"
"220722","KNT-Op51-32",0,501,0,"Op51","B36","set-1 KO"
