mark	track_variant	metric	sample_1	sample_2	protein_coding_genes_n	spearman_rho
ATAC	all_mapped	gene_body	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.8825399962134285
ATAC	all_mapped	gene_body_plus_minus_2kb	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.9704991533008944
ATAC	all_mapped	promoter	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.9726590892563906
ATAC	nonduplicate	gene_body	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.8903005709750169
ATAC	nonduplicate	gene_body_plus_minus_2kb	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.9720856790106824
ATAC	nonduplicate	promoter	Ferraro2021_WT_ATAC_rep1	Ferraro2021_WT_ATAC_rep2	9730	0.9749491513904899
MNase	all_mapped	gene_body	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.641704595817413
MNase	all_mapped	gene_body	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.6979145479792976
MNase	all_mapped	gene_body	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.7066662200277579
MNase	all_mapped	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.7330188210401468
MNase	all_mapped	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.7683800140240405
MNase	all_mapped	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.7825125788953229
MNase	all_mapped	promoter	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.7020414019657645
MNase	all_mapped	promoter	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.7029041114826321
MNase	all_mapped	promoter	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.7513264510995562
MNase	nonduplicate	gene_body	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.6447775643183652
MNase	nonduplicate	gene_body	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.698900107417814
MNase	nonduplicate	gene_body	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.7077819721252432
MNase	nonduplicate	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.732317121944695
MNase	nonduplicate	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.7689850682172907
MNase	nonduplicate	gene_body_plus_minus_2kb	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.7839122191684551
MNase	nonduplicate	promoter	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep2	9730	0.7065014539095797
MNase	nonduplicate	promoter	Kamei2021_WT_MNase_rep1	Kamei2021_WT_MNase_rep3	9730	0.7075638730960718
MNase	nonduplicate	promoter	Kamei2021_WT_MNase_rep2	Kamei2021_WT_MNase_rep3	9730	0.752492925833915
total H3	all_mapped	gene_body	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.46170099062508374
total H3	all_mapped	gene_body_plus_minus_2kb	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.5952690962937933
total H3	all_mapped	promoter	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.6105872400435278
total H3	nonduplicate	gene_body	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.50338012929728
total H3	nonduplicate	gene_body_plus_minus_2kb	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.6344458272819484
total H3	nonduplicate	promoter	Kamei2021_WT_totalH3_rep1	Kamei2021_WT_totalH3_rep2	9730	0.6470969216624156
