sibling_number,female_strain,male_strain,isolated_spores,germinated_spores,BA_resistant,HY_resistant,other_selection
KNT-Op5,C2-S2-8a,KNT-Op3-84A,57,38,14,NA,24
KNT-Op6,FGSC4106,KNT-Op3-84A,69,42,13,NA,20
KNT-Op7,FGSC12433,KNT-Op3-84A,60,43,18,24,NA
KNT-Op14,FGSC11445,KNT-Op3-84A,65,61,27,28,NA
KNT-Op16,FGSC12058,KNT-Op3-87a,60,59,20,29,NA
KNT-Op36,FGSC06403,KNT-Op3-87a,60,56,20,NA,18
KNT-Op39,KTO-Qd-35A,KNT-Op3-87a,90,84,38,43,64
KNT-Op46,C1-T10-37A,KNT-Op5-33a,40,27,12,NA,10
KNT-Op47,C1-T10-28a,KNT-Op6-23A,40,39,24,NA,18
KNT-Op58,KNT-Op56-11A,KNT-Op3-87a,50,40,13,17,NA
KNT-Op62,C1-T10-37A,KNT-Op14-41a,50,43,22,28,NA
KNT-Op64,FGSC13372,KNT-Op16-49A,90,83,44,53,18
KNT-Op66,C1-T10-37A,KNT-Op7-32a,50,39,20,18,NA
KNT-Op67,C1-T10-28a,KNT-Op58-38A,60,38,13,13,NA
