"sibling_number","female_strain","male_strain","isolated_spores","germinated_spores","BA_resistant","HY_resistant","other_selection","germination_ratio","segregation_ratio"
"KNT-Op5","C2-S2-8a","KNT-Op3-84A",57,38,14,NA,24,0.666666666666667,0.368421052631579
"KNT-Op6","FGSC4106","KNT-Op3-84A",69,42,13,NA,20,0.608695652173913,0.30952380952381
"KNT-Op7","FGSC12433","KNT-Op3-84A",60,43,18,24,NA,0.716666666666667,0.418604651162791
"KNT-Op14","FGSC11445","KNT-Op3-84A",65,61,27,28,NA,0.938461538461538,0.442622950819672
"KNT-Op16","FGSC12058","KNT-Op3-87a",60,59,20,29,NA,0.983333333333333,0.338983050847458
"KNT-Op36","FGSC06403","KNT-Op3-87a",60,56,20,NA,18,0.933333333333333,0.357142857142857
"KNT-Op39","KTO-Qd-35A","KNT-Op3-87a",90,84,38,43,64,0.933333333333333,0.452380952380952
"KNT-Op46","C1-T10-37A","KNT-Op5-33a",40,27,12,NA,10,0.675,0.444444444444444
"KNT-Op47","C1-T10-28a","KNT-Op6-23A",40,39,24,NA,18,0.975,0.615384615384615
"KNT-Op58","KNT-Op56-11A","KNT-Op3-87a",50,40,13,17,NA,0.8,0.325
"KNT-Op62","C1-T10-37A","KNT-Op14-41a",50,43,22,28,NA,0.86,0.511627906976744
"KNT-Op64","FGSC13372","KNT-Op16-49A",90,83,44,53,18,0.922222222222222,0.530120481927711
"KNT-Op66","C1-T10-37A","KNT-Op7-32a",50,39,20,18,NA,0.78,0.512820512820513
"KNT-Op67","C1-T10-28a","KNT-Op58-38A",60,38,13,13,NA,0.633333333333333,0.342105263157895
