sample_id	study	mark	track_variant	bigwig_file	display_name	locus_tag	role	chrom	gene_start_1based	gene_end_1based	strand	metric	region_start_1based	region_end_1based	region_length_bp	covered_bases	missing_bases	exact_zero_bases	mean_cpm	max_cpm	nonzero_fraction	genome_percentile_midrank	genome_rank_desc	genome_population_n	reporter_set_rank_desc	reporter_set_n
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-9	NCU11188	checkpoint	CM002236.1	7782698	7790990	-	promoter	7790791	7791990	1200	1200	0	0	3.013325	7.781900	1.000000	84.815005	1478.000000	9730	4.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-9	NCU11188	checkpoint	CM002236.1	7782698	7790990	-	gene_body	7782698	7790990	8293	8293	0	1753	2.086310	16.601400	0.788617	45.760534	5278.000000	9730	7.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-9	NCU11188	checkpoint	CM002236.1	7782698	7790990	-	gene_body_plus_minus_2kb	7780698	7792990	12293	12293	0	1790	2.733278	16.601400	0.854389	58.442960	4044.000000	9730	6.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	uvs-2	NCU05210	TLS	CM002239.1	5741984	5743793	+	promoter	5740984	5742183	1200	1200	0	0	6.253627	16.601400	1.000000	97.312436	262.000000	9730	2.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	uvs-2	NCU05210	TLS	CM002239.1	5741984	5743793	+	gene_body	5741984	5743793	1810	1810	0	100	6.562880	13.488600	0.944751	92.903392	691.000000	9730	1.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	uvs-2	NCU05210	TLS	CM002239.1	5741984	5743793	+	gene_body_plus_minus_2kb	5739984	5745793	5810	5810	0	280	4.176422	16.601400	0.951807	85.853032	1377.000000	9730	1.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-26	NCU06577	TLS	CM002239.1	1682372	1684719	-	promoter	1684520	1685719	1200	1200	0	100	4.304688	12.451000	0.916667	92.245632	755.000000	9730	3.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-26	NCU06577	TLS	CM002239.1	1682372	1684719	-	gene_body	1682372	1684719	2348	2348	0	420	1.353547	3.631550	0.821124	37.261048	6105.000000	9730	8.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	mus-26	NCU06577	TLS	CM002239.1	1682372	1684719	-	gene_body_plus_minus_2kb	1680372	1686719	6348	6348	0	600	3.994170	15.045000	0.905482	83.417266	1614.000000	9730	2.000000	8
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	polh	NCU01936	TLS	CM002236.1	1954685	1958363	-	promoter	1958164	1959363	1200	1200	0	70	2.369589	10.375900	0.941667	78.165468	2125.000000	9730	5.000000	8
