sample_id	study	mark	track_variant	bigwig_file	display_name	locus_tag	role	chrom	gene_start_1based	gene_end_1based	strand	metric	region_start_1based	region_end_1based	region_length_bp	covered_bases	missing_bases	exact_zero_bases	mean_cpm	max_cpm	nonzero_fraction	genome_percentile_midrank	genome_rank_desc	genome_population_n	reporter_set_rank_desc	reporter_set_n
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	promoter	3265920	3267119	1200	1200	0	1170	0.034570	2.592780	0.025000	49.665982	4898.000000	9730	5.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	gene_body	3264327	3266119	1793	1793	0	1721	0.060734	2.592780	0.040156	76.695786	2268.000000	9730	2.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	gene_body_plus_minus_2kb	3262327	3268119	5793	5793	0	5619	0.042967	2.592780	0.030036	54.100719	4466.500000	9730	6.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	promoter	4772958	4774157	1200	1200	0	1161	0.043213	2.592780	0.032500	63.746146	3528.000000	9730	4.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	gene_body	4771247	4773157	1911	1911	0	1855	0.037989	1.296390	0.029304	31.166495	6698.000000	9730	7.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	gene_body_plus_minus_2kb	4769247	4775157	5911	5911	0	5700	0.049127	3.889160	0.035696	73.550874	2574.000000	9730	3.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	promoter	4867362	4868561	1200	1200	0	1177	0.025928	2.592780	0.019167	34.691675	6355.000000	9730	6.500000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	gene_body	4864849	4867561	2713	2713	0	2607	0.052563	2.592780	0.039071	61.988695	3699.000000	9730	3.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	gene_body_plus_minus_2kb	4862849	4869561	6713	6713	0	6516	0.039396	2.592780	0.029346	42.060637	5638.000000	9730	7.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-8	NCU09789	alternative	CM002241.1	1125094	1129467	-	promoter	1129268	1130467	1200	1200	0	1176	0.025928	1.296390	0.020000	34.691675	6355.000000	9730	6.500000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-8	NCU09789	alternative	CM002241.1	1125094	1129467	-	gene_body	1125094	1129467	4374	4374	0	4210	0.052164	2.592780	0.037494	61.300103	3766.000000	9730	4.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	ad-8	NCU09789	alternative	CM002241.1	1125094	1129467	-	gene_body_plus_minus_2kb	1123094	1131467	8374	8374	0	8106	0.044276	3.889160	0.032004	58.617677	4027.000000	9730	5.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	his-3	NCU03139	alternative	CM002236.1	4694770	4697885	+	promoter	4693770	4694969	1200	1200	0	1159	0.044293	1.296390	0.034167	65.215827	3385.000000	9730	3.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	his-3	NCU03139	alternative	CM002236.1	4694770	4697885	+	gene_body	4694770	4697885	3116	3116	0	2982	0.060742	2.592780	0.043004	76.706064	2267.000000	9730	1.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	his-3	NCU03139	alternative	CM002236.1	4694770	4697885	+	gene_body_plus_minus_2kb	4692770	4699885	7116	7116	0	6854	0.051010	2.592780	0.036818	78.442960	2098.000000	9730	2.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	mtr	NCU06619	alternative	CM002239.1	1825042	1827519	-	promoter	1827320	1828519	1200	1200	0	1134	0.077783	2.592780	0.055000	93.848921	599.000000	9730	1.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	mtr	NCU06619	alternative	CM002239.1	1825042	1827519	-	gene_body	1825042	1827519	2478	2478	0	2403	0.039760	2.592780	0.030266	34.753340	6349.000000	9730	6.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	mtr	NCU06619	alternative	CM002239.1	1825042	1827519	-	gene_body_plus_minus_2kb	1823042	1829519	6478	6478	0	6261	0.045628	2.592780	0.033498	63.098664	3591.000000	9730	4.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	csr-1	NCU00726	exploratory	CM002236.1	7403946	7406381	-	promoter	7406182	7407381	1200	1200	0	1149	0.056177	2.592780	0.042500	79.465570	1998.500000	9730	2.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	csr-1	NCU00726	exploratory	CM002236.1	7403946	7406381	-	gene_body	7403946	7406381	2436	2436	0	2356	0.045235	2.592780	0.032841	46.346351	5221.000000	9730	5.000000	7
Kamei2021_WT_MNase_rep1	Kamei et al. 2021 rep1	MNase	nonduplicate	Kamei2021_WT_MNase_rep1.q20.nonduplicate.cpm.bw	csr-1	NCU00726	exploratory	CM002236.1	7403946	7406381	-	gene_body_plus_minus_2kb	7401946	7408381	6436	6436	0	6131	0.066068	3.889160	0.047390	97.487153	245.000000	9730	1.000000	7
Kamei2021_WT_MNase_rep2	Kamei et al. 2021 rep2	MNase	nonduplicate	Kamei2021_WT_MNase_rep2.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	promoter	3265920	3267119	1200	1200	0	1152	0.038783	1.789990	0.040000	54.922919	4386.500000	9730	6.000000	7
Kamei2021_WT_MNase_rep2	Kamei et al. 2021 rep2	MNase	nonduplicate	Kamei2021_WT_MNase_rep2.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	gene_body	3264327	3266119	1793	1793	0	1699	0.053909	2.684990	0.052426	67.672148	3146.000000	9730	4.000000	7
