sample_id	study	mark	track_variant	bigwig_file	display_name	locus_tag	role	chrom	gene_start_1based	gene_end_1based	strand	metric	region_start_1based	region_end_1based	region_length_bp	covered_bases	missing_bases	exact_zero_bases	mean_cpm	max_cpm	nonzero_fraction	genome_percentile_midrank	genome_rank_desc	genome_population_n	reporter_set_rank_desc	reporter_set_n
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	promoter	3265920	3267119	1200	1200	0	321	0.665353	2.075170	0.732500	30.087359	6803.000000	9730	7.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	gene_body	3264327	3266119	1793	1793	0	379	0.965830	3.112760	0.788622	31.002055	6714.000000	9730	7.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	pan-2	NCU10048	focal	CM002241.1	3264327	3266119	-	gene_body_plus_minus_2kb	3262327	3268119	5793	5793	0	650	2.189267	10.894700	0.887796	45.431655	5310.000000	9730	7.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	promoter	4772958	4774157	1200	1200	0	240	0.902701	3.631550	0.800000	42.564234	5589.000000	9730	5.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	gene_body	4771247	4773157	1911	1911	0	90	4.568151	15.563800	0.952904	73.561151	2573.000000	9730	4.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3A	NCU03166	alternative	CM002236.1	4771247	4773157	-	gene_body_plus_minus_2kb	4769247	4775157	5911	5911	0	650	3.562569	16.601400	0.890036	76.459404	2291.000000	9730	2.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	promoter	4867362	4868561	1200	1200	0	20	1.456512	3.631550	0.983333	61.135663	3782.000000	9730	3.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	gene_body	4864849	4867561	2713	2713	0	30	4.615215	14.007400	0.988942	74.064748	2524.000000	9730	3.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-3B	NCU03194	alternative	CM002236.1	4864849	4867561	-	gene_body_plus_minus_2kb	4862849	4869561	6713	6713	0	471	3.391285	14.007400	0.929838	72.800617	2647.000000	9730	3.000000	7
Ferraro2021_WT_H3K4me1	Ferraro et al. 2021	H3K4me1	nonduplicate	Ferraro2021_WT_H3K4me1.q20.nonduplicate.cpm.bw	ad-8	NCU09789	alternative	CM002241.1	1125094	1129467	-	promoter	1129268	1130467	1200	1200	0	320	0.682646	2.593970	0.733333	31.238438	6691.000000	9730	6.000000	7
